id,year,bbl,organization_name,dbn,short_dbn,project_title,project_type,organization_address,requested_amt,requested_amt_c,funding,funding_c,lat,lng,CounDist,BoroCD
306,2016,1000010010,Governor's Island Alliance,,,Floating Dock,Park,Pier 101 Governors Island,,,42000,42000,40.69137,-74.01248,1,101
187,2015,1000010010,Lower Manhattan Cultural Council,,,LMCCs Arts Center at Governors Island,Cultural Organization,"110 Andes Road, New York, NY 10004",,,"$200,000",200000,40.69255,-74.01628,1,101
506,2017,1000010010,Lower Manhattan Cultural Council,,,IT & Media Equipment,Cultural Organization,"110 Andes Road 10004 and 125 Maiden
Lane 10038",,,50000,50000,40.69255,-74.01628,1,101
1292,2020,1000010010,"Lower Manhattan Cultural Council, Inc.",,,Lighting in Gallery 200,Cultural Organization,"110 Andes Road New York, NY 10004",,,"$50,000",50000,40.69276,-74.01633,1,101
441,2016,1000010010,The Trust for Governor's Island,,,Bathrooms Renovations,Social Services Organization,Governor's Island,,,50000,50000,40.68947,-74.01885,1,101
889,2018,1000010010,The Trust for Governor's Island,,,The Trust for Govenors Island  - Admiral's House Reconstruction,City Facility,"1 Barry Road, Governors Island, New York, NY
10004",,,335000,335000,40.6901,-74.01287,1,101
1443,2020,1000010010,The Trust for Governors Island,,,Nolan Park Building 16 Renovation Billion Oyster Project,Park,"16 Evans Road Governors Island, New York 10004",,,"$85,000",85000,40.68913,-74.0147,1,101
450,2016,1000010010,Urban Assembly New York Harbor School,02M551,M551,Boat Basin Phase 1,Public School,"10 South Street, New York, NY 10004",,,100000,100000,40.7017,-74.01163,1,101
1198,2019,1000010010,Urban Assembly New York Harbor School,02M551,M551,Swimming Pool,Public School,"550 Short Avenue Governors Island New York, NY 10004",,,"$100,000",100000,40.69086,-74.0204,1,101
1453,2020,1000010010,Urban Assembly New York Harbor School,02M551,M551,Electrical Upgrade,Public School,"10 South St Slip 7 New York, NY 10004",,,"$52,000",52000,40.70105,-74.01165,1,101
264,2016,1000030001,Alliance for Downtown,,,Light Bulbs,Cultural Organization,"Roughly from Battery Park to City Hall, the East River to West Street.",,,38000,38000,40.70288,-74.01552,1,101
130,2014,1000030001,The Battery Conservancy,,,Rebuild the Battery Family Comfort Station and Park Office,Park,"1 Whitehall Street, 17th Fl.","* 500,000.00",500000,0,0,40.70397,-74.01316,1,101
244,2015,1000030001,The Battery Conservancy,,,Battery Park Comfort Station Renovations,Park,Battery Place and Broadway,,,"$250,000",250000,40.70317,-74.01727,1,101
423,2016,1000030001,The Battery Conservancy,,,Reconstruction of a family comfort station in Battery Park.,Park,"17, 1 Whitehall Street, New York, NY 10004",,,250000,250000,40.70397,-74.01316,1,101
1151,2019,1000050010,"Society of Illustrators, Inc.",,,MoCCA Arts Festival 2019,Cultural Organization,"New York, NY 10014 New York, New York",,,"$2,000.00",2000,40.70272,-74.01072,1,101
123,2014,1000120001,Smithsonian National Museum of the American Indian,,,ImagiNATIONS Education Center Project,Cultural Organization,1 Bowling Green,"* 200,000.00",200000,200000,200000,40.70429,-74.01324,1,101
414,2016,1000120001,Smithsonian National Museum of the American Indian,,,Native New York Exhibit,Cultural Organization,One Bowling Green,,,100000,100000,40.70429,-74.01324,1,101
348,2016,1000160010,Museum of Jewish Heritage,,,Theater Renovation,Cultural Organization,36th Battery Place,,,75000,75000,40.7058,-74.01802,1,101
764,2018,1000160010,Museum of Jewish Heritage,,,Revitalizing MJHs Core Exhibition,Cultural Organization,"36 Battery Place,10280",,,250000,250000,40.70581,-74.01802,1,101
1312,2020,1000160010,Museum of Jewish Heritage,,,Fortifying the Infrastructure,Cultural Organization,"36 Battery Place New York, NY 10280",,,"$150,000",150000,40.70601,-74.0186,1,101
464,2017,1000160040,Battery Park City School,02M276,M276,Laptop Carts Purchase,Public School,55 Battery Place,,,100000,100000,40.70644,-74.01782,1,101
920,2019,1000160040,Battery Park City School,02M276,M276,Technology Upgrades,Public School,"55 Battery Place New York, NY 10280",,,"$80,000",80000,40.70637,-74.01743,1,101
1228,2020,1000160040,Battery Park City School,02M276,M276,Technology Upgrade,Public School,"55 Battery Place New York, NY 10280",,,"$75,000",75000,40.70637,-74.01743,1,101
1392,2020,1000160040,P.S. M094,75M094,M094,Technology Upgrade,Public School,"55 Battery Place New York, NY 10280",,,"$75,000",75000,40.70637,-74.01743,1,101
128,2014,1000160215,Stuyvesant High School,02M475,M475,"Theatre, Art and Music Wing Renovation Project (PTA)",Public School,345 Chambers Street,"* 300,000.00",300000,,,40.71759,-74.01375,1,101
240,2015,1000160215,Stuyvesant High School,02M475,M475,Auditorium Upgrade,Public School,"345 Chambers Street, New York, NY 10282",,,"$150,000",150000,40.71759,-74.01375,1,101
419,2016,1000160215,Stuyvesant High School,02M475,M475,Auditorium Systems Upgrades,Public School,"345 Chambers St, New York, NY 10282",,,150000,150000,40.71759,-74.01375,1,101
609,2017,1000160215,Stuyvesant High School,02M475,M475,Science Lab Upgrade,Public School,345 Chambers Street,,,300000,300000,40.71759,-74.01375,1,101
861,2018,1000160215,Stuyvesant High School,02M475,M475,Science Laboratory (Lab) Renovation and Upgrade,Public School,"345 Chambers Street, New York, NY 10282",,,100000,100000,40.71759,-74.01375,1,101
1159,2019,1000160215,Stuyvesant High School,02M475,M475,Technology Upgrades,Public School,"345 Chambers Street New York, NY 10282",,,"$50,000",50000,40.71794,-74.0138,1,101
1416,2020,1000160215,Stuyvesant High School,02M475,M475,Theater Lights,Public School,"345 Chambers Street  New York, NY 10282",,,"$75,000",75000,40.71794,-74.0138,1,101
725,2018,1000160220,I.S. 289 Hudson River Middle School,02M289,M289,Classroom Technology Upgrades,Public School,"201 Warren Street, New York, NY 10282",,,100000,100000,40.71667,-74.01354,1,101
1124,2019,1000160220,P.S. 89,02M089,M089,Technology Upgrades,Public School,"201 Warren Street New York, NY 10282",,,"$100,000",100000,40.71697,-74.01379,1,101
1390,2020,1000160220,P.S. 89,02M089,M089,Technology Upgrade,Public School,"201 Warren Street Room 208 New York, NY 10282",,,"$80,000",80000,40.71697,-74.01379,1,101
456,2017,1000180100,"3-Legged Dog, Inc.",,,"3-Legged Dog, Inc.",Cultural Organization,"80 Greenwich St, New York, NY 10006",,,100000,100000,40.70751,-74.0138,1,101
294,2016,1000190013,Elizabeth Berger Plaza,,,Renovations,Park,"Edgar Street, New York, NY 10006",,,300000,300000,40.70691,-74.01387,1,101
339,2016,1000220013,M.S. 896 Lower Manhattan Community Middle School,02M896,M896,Technology Upgrades,Public School,"26 Broadway, New York, NY 10004",,,250000,250000,40.70568,-74.0133,1,101
1140,2019,1000220013,Richard R Green High School of Teaching,02M580,M580,Technology Upgrades,Public School,"7 Beaver Street New York, NY 10004",,,"$100,000",100000,40.70543,-74.01284,1,101
1406,2020,1000220013,Richard R Green High School of Teaching,02M580,M580,Technology Upgrade,Public School,"7 Beaver Street 
New York, NY 10004",,,"$75,000",75000,40.70543,-74.01284,1,101
1199,2019,1000220013,Urban Assembly School of Business for Young Women,02M316,M316,Classroom Technology Upgrades,Public School,"26 Broadway Ave. New York, NY 10004",,,"$100,000",100000,40.70543,-74.01284,1,101
759,2018,1000290070,Millennium High School,02M418,M418,Library Partition Wall,Public School,"75 Broad Street, 12th floor, New York, NY 10004",,,350000,350000,40.70449,-74.01156,1,101
1029,2019,1000290070,Millennium High School,02M418,M418,Audio-Visual System,Public School,"75 Broad Street, 12th floor, New York, NY 10004",,,"$100,000",100000,40.7047,-74.01119,1,101
1306,2020,1000290070,Millennium High School,02M418,M418,Classroom Projectors,Public School,"75 Broad Street New York, NY 10004",,,"$75,000",75000,40.7047,-74.01119,1,101
640,2017,1000290070,Urban Resource Institute,,,Urban Resource Institute DV Shelter Vans,Social Services Organization,Will be parked off street at URI's shelters.,,,40000,40000,40.70449,-74.01156,1,101
899,2018,1000290070,Urban Resource Institute,,,FY 18 Vehicle Purchase Project,Social Services Organization,"75 Broad Street, 10004",,,114000,114000,40.70449,-74.01156,1,101
1320,2020,1000300019,"New York Legal Assistance Group, Inc.",,,NYLAG Initial Outfitting,Social Services Organization,"7 Hanover Square New York, NY 10004",,,"$250,000",250000,40.70404,-74.00968,1,101
38,2014,1000327501,"Department of Transportation, NYCDOT",,,Wadsworth Terrace Reconstruction Project,City Facility,"55 Water Street,","* 500,000.00",500000,0,0,40.7036,-74.00978,1,101
37,2014,1000327501,"Department of Transportation, NYCDOT",,,Times Square Rehabilitation Project,City Facility,"55 Water Street,","* 100,000.00",100000,0,0,40.7036,-74.00978,1,101
