project_id,boro,new_project,cd,sponsor,title,short_dbn,desc,fy_now,fy_1,fy_2,fy_3,year
E  CN911,M,E  D001,"00, 01","Speaker, Chin",STUYVESANT HIGH SCHOOL THEATER LIGHT RENOVATIONS,M475,--TO REPLACE AND INSTALL LED THEATER LIGHTS AND PANEL IN AUDITORIUM,305000,0,0,0,2020
E  PN009,M,E  D001,"00, 01","Speaker, Chin",P.S. 134 CAFETERIA COOLING SYSTEM,M134,--INSTALL AIR CONDITIONER SYSTEM IN CAFETERIA. NOT WINDOW AC UNIT.,300000,0,0,0,2020
E  CN155,M,E  D001,6,Rosenthal,"SMS, M490, M859","M490, M859",--SCIENCE CARTS,75000,0,0,0,2020
E  CN156,M,E  D001,6,Rosenthal,"PS 84, M084, M084",M084,--PREK CLASSROOM BATHROOM INSTALLATION,100000,0,0,0,2020
E  CN157,M,E  D001,6,Rosenthal,"THE CENTER SCHOOL, M009, M243","M009, M243",--TECHNOLOGY UPGRADE,100000,0,0,0,2020
E  CN158,M,E  D001,6,Rosenthal,"PS 75. M075, M250","M075, M250",--BIG YARD RENOVATION,250000,0,0,0,2020
E  CN159,M,E  D001,6,Rosenthal,"PS 166. M166, M166","M166, M166",--TECHNOLOGY UPGRADE,200000,0,0,0,2020
E  CN160,M,E  D001,6,Rosenthal,"MICKEY MANTLE SCHOOL, M841, M811","M841, M811",--TECHNOLOGY UPGRADE,182000,0,0,0,2020
E  CN161,M,E  D001,6,Rosenthal,"MANHATTAN HUNTER SCIENCE HS, M490, M541","M490, M541",--TECHNOLOGY UPGRADE,181000,0,0,0,2020
E  CN162,M,E  D001,6,Rosenthal,"PS 452, M191, M452","M191, M452",--YARD RENOVATION,250000,0,0,0,2020
E  CN163,M,E  D001,6,Rosenthal,"WEST END SECONDARY SCHOOL, M837, M291","M837, M291",--LIBRARY UPGRADE,40000,0,0,0,2020
E  CN164,M,E  D001,6,Rosenthal,"PS 87, M087, M087","M087, M087",--TECHNOLOGY GRANT,100000,0,0,0,2020
E  CN165,M,E  D001,6,Rosenthal,"PS 84, M084, M084","M084, M084",--TECHNOLOGY GRANT,100000,0,0,0,2020
E  CN166,M,E  D001,6,Rosenthal,"COMPUTER SCHOOL,M044, M245","M044, M245",--TECHNOLOGY GRANT,100000,0,0,0,2020
E  CN167,M,E  D001,6,Rosenthal,"PS 199, M199, M199","M199, M199",--TECHNOLOGY GRANT,100000,0,0,0,2020
E  CN168,M,E  D001,6,Rosenthal,"PS 199, M199, M199","M199, M199",--BATHROOMS UPGRADE,200000,0,0,0,2020
E  CN169,M,E  D001,6,Rosenthal,"PS 452, M191, M452","M191, M452",--BATHROOMS UPGRADE,200000,0,0,0,2020
E  CN170,M,E  D001,1,Chin,"(M126, M126) P.S. 126 AUDITORIUM REPAIR PROJECT","M126, M126",--FUNDING TO DIVISION OF SCHOOL FACILITIES TO FULLY FUND AUDITORIUM RENOVATION AND COOLING SYSTEM,126000,0,0,0,2020
E  CN171,M,E  D001,1,Chin,"(M142, M142) P.S. 142 AMALIA CASTRO 2ND FLOOR STUDENT AND STAFF BATHROO","M142, M142",--REPAIRS OUTDATED FIXTURES IN P.S. 142 2ND FLOOR BATHROOMS,150000,0,0,0,2020
E  CN172,M,E  D001,1,Chin,"(M510, M458) FORSYTH SATELLITE ACADEMY RENOVATIONS OF 1ST FLOOR STUDENT","M510, M458",--SUPPORT RENOVATIONS OF 1ST FLOOR STUDENT BATHROOMS,70000,0,0,0,2020
E  CN173,M,E  D001,1,Chin,"(M824, M226) MILLENNIUM HIGH SCHOOL TECHNOLOGY UPGRADE","M824, M226",--SUPPORT SMARTBOARDS UPGRADE FOR MILLENNIUM HIGH SCHOOL CLASSROOMS,75000,0,0,0,2020
E  CN174,M,E  D001,1,Chin,"(M343, M343) P.S. 343 PECK SLIP SCHOOL TECHNOLOGY UPGRADE","M343, M343",--TECHNOLOGY GRANT FOR PROMETHEAN BOARDS,50000,0,0,0,2020
E  CN175,M,E  D001,1,Chin,"(M042, M042) P.S. 042 BENJAMIN ALTMAN SAFETY MATS","M042, M042","--FUND NEW SAFETY MATS FOR GYMNASIUM WALLS, COLUMNS AND OUTDOOR YARD SPACE",150000,0,0,0,2020
E  CN176,M,E  D001,1,Chin,"(M124, M124) P.S. 124 YUNG WING DANCE ROOM","M124, M124",--TO CONVERT EXISTING CLASSROOM INTO DANCE ROOM WITH FULL LENGTH MIRRORS,191000,0,0,0,2020
E  CN177,M,E  D001,1,Chin,"(M140, M140) P.S. 140 NATHAN STRAUSS","M140, M140",--2 LAPTOP CARTS,50000,0,0,0,2020
E  CN178,M,E  D001,1,Chin,"(M134, M134) P.S. 134 HENRIETTA SZOLD","M134, M134",--AIR CONDITIONER UPGRADES FOR CAFETERIA. NOT WINDOW AC UNITS.,100000,0,0,0,2020
E  CN179,M,E  D001,1,Chin,"(M137, M184) P.S. 184 SHUANG WEN","M137, M184",--UPGRADE AUDITORIUM AND GYM CEILING AND REPAIR BROKEN SOUND SYSTEM,250000,0,0,0,2020
E  CN180,M,E  D001,1,Chin,"(M477, M226) STUYVESANT HIGH SCHOOL THEATER LIGHT RENOVATION AT STUYVES","M477, M226",--TO REPLACE AND INSTALL NEW LED THEATER LIGHTS AND PANEL IN AUDITORIUM,135000,0,0,0,2020
E  CN181,M,E  D001,1,Chin,"(M877, M551) URBAN ASSEMBLY NEW YORK HARBOR SCHOOL MAST CENTER ELECTRIC","M877, M551",--TO SUPPORT ENHANCED ELECTRICAL CAPACITY TO THE MACHINE SYSTEMS TECHNOLOGY WELDING SHOP,48000,0,0,0,2020
E  CN182,M,E  D001,1,Chin,"(M056, M332) UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL TECHNOLOGY UPGRADE","M056, M332",--TO FUND ADDITIONAL LAPTOP CARTS,50000,0,0,0,2020
E  CN183,M,E  D001,1,Chin,"(M056, ---) NYC CENTER FOR AEROSPACE AND APPLIED MATHEMATICS","M056, 40M04W",--FINALIZING EXHIBIT DESIGN AND DEVELOPMENT AS WELL AS THE FABRICATION AND INSTALLATION OF EXHIBIT PIECES,75000,0,0,0,2020
E  CN184,M,E  D001,1,Chin,"(M056, M292)  ORCHARD COLLEGIATE ACADEMY","M056, M292",--TO SUPPORT MINI TRACK AND RUBBER SURFACE FOR CORLEARS COMPLEX,75000,0,0,0,2020
E  CN186,M,E  D001,2,Rivera,"BARUCH COLLEGE CAMPUS HS (BLDG: M874, ORG: M411) - TECHNOLOGY","M874, M411",--TECHNOLOGY,51000,0,0,0,2020
E  CN187,M,E  D001,2,Rivera,"J.H.S. 47 (SCHOOL FOR THE DEAF) (BLDG: M047, ORG: M047) - TECHNOLOGY","M047, M047",--TECHNOLOGY,51000,0,0,0,2020
E  CN188,M,E  D001,2,Rivera,"P.S. 64  (BLDG: M064, ORG: M064) - TECHNOLOGY","M064, M064",--TECHNOLOGY,51000,0,0,0,2020
E  CN189,M,E  D001,2,Rivera,"THE HIGH SCHOOL FOR LANGUAGE & DIPLOMACY (BLDG: M460, ORG: M399) - TECH","M460, M399",--TECHNOLOGY,51000,0,0,0,2020
E  CN190,M,E  D001,2,Rivera,"HS FOR HEALTH PROFESSIONS AND HUMAN SERVICES (BLDG: M475, ORG: M420) -","M475, M420",--TECHNOLOGY,51000,0,0,0,2020
E  CN191,M,E  D001,2,Rivera,"P.S. 751 MANHATTAN SCHOOL FOR CAREER DEVELOPMENT (BLDG: M751, ORG: M751","M751, M751",--TECHNOLOGY,51000,0,0,0,2020
E  CN192,M,E  D001,2,Rivera,"MURRAY HILL ACADEMY HS (BLDG: M620, ORG: M427) - TECHNOLOGY","M620, M427",--TECHNOLOGY,51000,0,0,0,2020
E  CN193,M,E  D001,2,Rivera,"P.S. 19 (BLDG: M019, ORG: M019) - TECHNOLOGY","M019, M019",--TECHNOLOGY,51000,0,0,0,2020
E  CN194,M,E  D001,2,Rivera,"P.S. 34 (BLDG: M034, ORG: M034) - TECHNOLOGY","M034, M034",--TECHNOLOGY,51000,0,0,0,2020
E  CN195,M,E  D001,2,Rivera,"P.S. 347 (BLDG: M047, ORG: M347) - TECHNOLOGY","M047, M347",--TECHNOLOGY,51000,0,0,0,2020
E  CN196,M,E  D001,2,Rivera,"UNION SQUARE ACADEMY FOR HEALTH SCIENCES (BLDG: M460, ORG: M533) - TECH","M460, M533",--TECHNOLOGY,51000,0,0,0,2020
E  CN197,M,E  D001,2,Rivera,"INTERNATIONAL HS OF UNION SQUARE (BLDG: M460, ORG: M438) - TECHNOLOGY","M460, M438",--TECHNOLOGY,51000,0,0,0,2020
E  CN198,M,E  D001,2,Rivera,"GRAMERCY ARTS HS (BLDG: M460, ORG: M374) - TECHNOLOGY","M460, M374",--TECHNOLOGY,51000,0,0,0,2020
E  CN199,M,E  D001,2,Rivera,"P.S. 363 NEIGHBORHOOD SCHOOL (M063, ORG: M363) - TECHNOLOGY","M063, M363",--TECHNOLOGY,51000,0,0,0,2020
E  CN200,M,E  D001,2,Rivera,"EAST SIDE COMMUNITY SCHOOL (M060, ORG: M450) - TECHNOLOGY","M060, M450",--TECHNOLOGY,51000,0,0,0,2020
E  CN201,M,E  D001,2,Rivera,"BARD COLLEGE HS (BLDG: M097, ORG: M696) - TECHNOLOGY","M097, M696",--TECHNOLOGY,51000,0,0,0,2020
E  CN202,M,E  D001,2,Rivera,"P.S. 40 (BLDG: M040, ORG: M040) / SALK SCHOOL OF SCIENCE (BLDG: M040, O","M040, M040",--COOLING SYSTEM FOR P.S. 40 / SALK SCHOOL OF SCIENCE,88000,0,0,0,2020
E  CN203,M,E  D001,2,Rivera,"P.S. 116 (BLDG: M116, ORG: M116) - IPDVS SURVEILLANCE CAMERA","M116, M116",--IPDVS SURVEILLANCE CAMERA FOR P.S. 116,260000,0,0,0,2020
E  CN204,M,E  D001,2,Rivera,"P.S. 34 (BLDG: M034, ORG: M034) - MOBILE SCIENCE CARTS","M034, M034",--MOBILE SCIENCE CARTS AT P.S. 34,140000,0,0,0,2020
E  CN205,M,E  D001,2,Rivera,"P.S. 188 (BLDG: M188, ORG: M188) - GYM RENOVATION","M188, M188",--GYM RENOVATION AT P.S. 188,150000,0,0,0,2020
E  CN206,M,E  D001,2,Rivera,"P.S. 40 (BLDG: M040, ORG: M040) - LIFT INSTALLATION","M040, M040",--LIFT INSTALLATION AT P.S. 40,350000,0,0,0,2020
E  CN207,M,E  D001,2,Rivera,P.S. 64 AND THE EARTH SCHOOL (BLDG: M064) - PLAYGROUND RENOVATION,"M064, M364",--RENOVATION OF THE PLAYGROUND AT P.S. 64 AND THE EARTH SCHOOL (BUILDING M064),500000,0,0,0,2020
E  CN208,M,E  D001,4,Powers,"NEW BATHROOMS FOR WAGNER MIDDLE SCHOOL (M167, M167)","M167, M167",--FUNDING FOR NEW BATHROOMS,200000,0,0,0,2020
E  CN209,M,E  D001,4,Powers,"AUDITORIUM UPGRADES AT PS 59 (M488, M059)","M488, M059",--FUNDING FOR AUDITORIUM UPGRADES,100000,0,0,0,2020
E  CN210,M,E  D001,4,Powers,"SECURITY CAMERAS AT PS 6 (M006, M006)","M006, M006",--FUNDING FOR SECURITY CAMERAS AT PS 6,300000,0,0,0,2020
E  CN211,M,E  D001,4,Powers,"TECH UPGRADES AT PS 267 (M267, M267)","M267, M267",--FUNDING FOR TECH UPGRADES,40000,0,0,0,2020
E  CN212,M,E  D001,4,Powers,"TECH UPGRADES AT PS 94@ 281 (M281, M094)","M281, M094",--FUNDING FOR TECH UPGRADES,40000,0,0,0,2020
E  CN213,M,E  D001,4,Powers,"TECH UPGRADES AT REPERTORY HIGH SCHOOL (M896, M531)","M896, M531",--FUNDING FOR TECH UPGRADES,40000,0,0,0,2020
E  CN214,M,E  D001,4,Powers,"NEW SOUND SYSTEM IN AUDITORIUM AT MS 104 (M104, M104)","M104, M104",--FUNDING FOR NEW SOUND SYSTEM FOR AUDITORIUM,65000,0,0,0,2020
E  CN215,M,HN D300,4,Powers,DANCE DEPT LOBBY RENOV. AT HUNTER COLLEGE ELEMENTARY AND HIGH SCHOOL,Z017,--FUNDING FOR DANCE DEPARTMENT LOBBY RENOVATION,100000,0,0,0,2020
E  CN216,M,HN D300,4,Powers,GLASS BOX AT HUNTER COLLEGE ELEMENTARY AND HIGH SCHOOL (CUNY),Z017,--FUNDING FOR CONSTRUCTION OF THE GLASS BOX,200000,0,0,0,2020
E  CN217,M,E  D001,4,Powers,"TECH UPGRADES AT PS 281 (M281, M281)","M281, M281",--FUNDING FOR TECH UPGRADES,35000,0,0,0,2020
E  CN218,M,E  D001,4,Powers,"NEW SOUND SYSTEM IN CAFETERIA AT PS 169  (M169, M169)","M169, M169",--FUNDING FOR NEW SOUNDS SYSTEM,35000,0,0,0,2020
E  CN219,M,E  D001,4,Powers,"P.S. 40 (BLDG: M040, ORG: M040)/ SALK SCHOOL OF SCIENCE (M040, M255) -","M040, M255",--COOLING SYSTEM FOR PS 40 AND MS 255,88000,0,0,0,2020
E  CN220,M,E  D001,4,Powers,"P.S. 116 (BLDG: M116, ORG: M116) - IPDVS SURVEILLANCE CAMERA","M116, M116",--IPDVS SURVEILLANCE CAMERA FOR PS 116,190000,0,0,0,2020
E  CN221,M,E  D001,4,Powers,"TECH UPGRADES AT PS 198 (M198, M198)","M198, M198",--FUNDING FOR TECH UPGRADES,35000,0,0,0,2020
E  CN222,M,E  D001,4,Powers,"TECH UPGRADES AT PS 40 (M040, M040)","M040, M040",--FUNDING FOR TECH UPGRADES,40000,0,0,0,2020
E  CN223,M,E  D001,8,Ayala,HYDROPONIC LAB EQUIPMENT FOR MANHATTAN CENTER FOR SCIENCE AND MATHEMATI,M435,--FUNDING FOR HYDROPONIC LAB EQUIPMENT,170000,0,0,0,2020
E  CN224,M,E  D001,8,Ayala,"TECHNOLOGY UPGRADE AT P.S. 96 (04M096, M096)","M096, M096",--FUNDING FOR TECHNOLOGY UPGRADE,35000,0,0,0,2020
E  CN225,M,E  D001,8,Ayala,"TECHNOLOGY UPGRADE AT P.S. 7 (04M007, M007)","M007, M007",--FUNDING FOR TECHNOLOGY UPGRADE,35000,0,0,0,2020
E  CN226,M,E  D001,8,Ayala,"TECHNOLOGY UPGRADE AT P.S. 108 (04M108, M108)","M108, M108",--FUNDING FOR TECHNOLOGY UPGRADE,35000,0,0,0,2020
E  CN227,M,E  D001,8,Ayala,"TECHNOLOGY UPGRADE AT EAST HARLEM SCHOLARS ACADEMY II (84M168, M168)","M168, M168",--FUNDING FOR TECHNOLOGY UPGRADE,35000,0,0,0,2020
E  CN228,M,E  D001,8,Ayala,"WATER FOUNTAINS UPGRADE AT P.S. 57 (04M057, M057)","M057, M057",--FUNDING FOR WATER FOUNTAINS UPGRADE,47000,0,0,0,2020
E  CN229,M,E  D001,8,Ayala,"WATER FOUNTAINS UPGRADE AT RENAISSANCE SCHOOL OF THE ARTS (04M377, M377","M377, M377",--FUNDING FOR WATER FOUNTAINS UPGRADE,47000,0,0,0,2020
E  CN230,M,E  D001,8,Ayala,"WATER FOUNTAINS UPGRADE AT EAST HARLEM SCHOLARS ACADEMY II (84M168, M16","M168, M168",--FUNDING FOR WATER FOUNTAINS UPGRADE,46000,0,0,0,2020
E  CN240,M,E  D001,8,Ayala,"TECHNOLOGY UPGRADE AT P.S. 182 (04M182, M182)","M182, M182",--FUNDING FOR TECHNOLOGY UPGRADE,50000,0,0,0,2020
E  CN241,M,E  D001,8,Ayala,"TECHNOLOGY UPGRADE AT P.S. 206 (04M206, M206)","M206, M206",--FUNDING FOR TECHNOLOGY UPGRADE,75000,0,0,0,2020
E  CN242,M,E  D001,8,Ayala,"TECHNOLOGY UPGRADE AT TAG (04M012, M012)","M012, M012",--FUNDING FOR TECHNOLOGY UPGRADE,97000,0,0,0,2020
